[
[ 220,482391, -47,38814122, 2,3 ]
[ 218,8768812, -42,15774569, 2,33 ]
[ 165,4599614, 56,38234469, 2,34 ]
[ 221,2468785, 27,07417376, 2,35 ]
[ 326,0464175, 9,875007584, 2,38 ]
[ 265,6219989, -39,029921, 2,39 ]
[ 6,5702816, -42,3051212, 2,4 ]
[ 178,4572551, 53,69473297, 2,41 ]
[ 257,5944274, -15,72514768, 2,43 ]
[ 345,9430558, 28,08245431, 2,44 ]
[ 111,023771, -29,30311963, 2,45 ]
[ 319,64409, 62,58545515, 2,45 ]
[ 140,528455, -55,01069513, 2,47 ]
[ 311,5518008, 33,96945339, 2,48 ]
[ 346,1900706, 15,20536753, 2,49 ]
[ 45,56991317, 4,089925555, 2,54 ]
[ 249,2897083, -10,56715177, 2,54 ]
[ 208,8851458, -47,28826623, 2,55 ]
[ 168,5267171, 20,52403382, 2,56 ]
[ 241,3593134, -19,80539435, 2,56 ]
[ 83,18255807, -17,82229214, 2,58 ]
[ 182,0897652, -50,72240992, 2,58 ]
[ 183,9519493, -17,54198359, 2,58 ]
[ 285,6530124, -29,88011461, 2,6 ]
[ 229,2519659, -9,382866649, 2,61 ]
[ 236,066649, 6,425519774, 2,63 ]
[ 28,65978905, 20,80829983, 2,64 ]
[ 84,91224966, -34,07404939, 2,65 ]
[ 89,93015902, 37,21276399, 2,65 ]
[ 188,5968089, -23,39662293, 2,65 ]
[ 21,45251246, 60,23540367, 2,66 ]
[ 208,6713183, 18,3985867, 2,68 ]
[ 224,6331415, -43,13386704, 2,68 ]
[ 74,24840149, 33,16613574, 2,69 ]
[ 161,6921753, -49,42012504, 2,69 ]
[ 189,2961822, -69,13553368, 2,69 ]
[ 262,6909953, -37,29574034, 2,7 ]
[ 109,2856839, -37,09748688, 2,71 ]
[ 275,2484236, -29,8280395, 2,72 ]
[ 296,5648759, 10,61326857, 2,72 ]
[ 243,5865263, -3,693975651, 2,73 ]
[ 245,9979448, 61,51407545, 2,73 ]
[ 160,7392781, -64,39447946, 2,74 ]
[ 190,4166757, -1,449521909, 2,74 ]
[ 83,85825448, -5,909899865, 2,75 ]
[ 200,1502733, -36,71208083, 2,75 ]
[ 222,7199052, -16,04161027, 2,75 ]
[ 265,8682371, 4,566917016, 2,76 ]
[ 76,96264165, -5,086262732, 2,78 ]
[ 247,5552571, 21,48964873, 2,78 ]
[ 258,6619275, 14,39025294, 2,78 ]
[ 183,7864875, -58,74890175, 2,79 ]
[ 262,6082369, 52,30135886, 2,79 ]
[ 233,7852519, -41,16669506, 2,8 ]
[ 82,06135954, -20,759232, 2,81 ]
[ 250,3228214, 31,60188678, 2,81 ]
[ 6,413341871, -77,25503494, 2,82 ]
[ 248,9706642, -28,2159616, 2,82 ]
[ 276,9927901, -25,42124724, 2,82 ]
[ 3,308958475, 15,1836161, 2,83 ]
[ 121,8862591, -24,30443679, 2,83 ]
[ 238,7867005, -63,42974982, 2,83 ]
[ 58,5329938, 31,8836578, 2,84 ]
[ 261,324988, -55,52982387, 2,84 ]
[ 262,9605068, -49,87598163, 2,84 ]
[ 56,87110081, 24,10524179, 2,85 ]
[ 195,5448356, 10,95910189, 2,85 ]
[ 326,7595222, -16,12656594, 2,85 ]
[ 29,69113173, -61,56992473, 2,86 ]
[ 296,2435088, 45,13069175, 2,86 ]
[ 95,73996356, 22,51385018, 2,87 ]
[ 229,72787, -68,6794674, 2,87 ]
[ 334,6257414, -60,25949478, 2,87 ]
[ 44,56548212, -40,30473465, 2,88 ]
[ 287,4409741, -21,02352539, 2,88 ]
[ 111,787801, 8,289408828, 2,89 ]
[ 194,0076708, 38,31824601, 2,89 ]
[ 239,7130027, -26,11404273, 2,89 ]
[ 59,46342225, 40,01027312, 2,9 ]
[ 245,2971774, -25,59275251, 2,9 ]
[ 322,8896696, -5,571155602, 2,9 ]
[ 46,199126, 53,50645015, 2,91 ]
[ 146,7755734, -65,07201887, 2,92 ]
[ 340,7505356, 30,22130744, 2,93 ]
[ 102,4839036, -50,61439971, 2,94 ]
[ 187,4665968, -16,51509405, 2,94 ]
[ 331,4459387, -0,319826279, 2,95 ]
[ 59,50720838, -13,50824446, 2,97 ]
[ 84,41118462, 21,14259289, 2,97 ]
[ 146,4629266, 23,77427817, 2,97 ]
[ 271,4521857, -30,42365016, 2,98 ]
[ 199,7302225, -23,17141256, 2,99 ]
[ 266,8961713, -40,12698188, 2,99 ]
[ 286,3525515, 13,86370955, 2,99 ]
]
